en,ru
"Yeah, that's not exactly...","Да, но не совсем..."
!,!
"But for now,","Но сейчас ...я вверяю вам удостовериться, что шотландцы приуменьшат"
He'd been out there a few weeks or so.,Они тусовались там несколько недель.
It'll make you feel better.,Вам станет лучше.
Come in!,Войдите.
Do the math.,"Давай, догадывайся."
- Jenna?,- Дженна?
"I see them cunts, lying to you.",Я вижу всех этих уродов лгущих тебе.
You told Dan I was here?,"Ты сказал Дену, что я здесь был?"
"Because, right away.","Потому, прямо сейчас."
He'll enjoy the challenge.,"И ему понравится то, что мы приготовили."
This is all I have.,Всё что у меня есть.
"No, no, no! No!","Нет, нет, нет."
Phoney.,Липа.
- What's next?,- Что там дальше?
Hold my hand.,Держи меня за руку.
It's going down as a con.,"- Это идёт как ""против""."
I mean about Lily.,Я говорю о Лили.
"Also, this planet is inhabited.","Кроме того, эта планета обитаема."
What?,Ну что тебе?
Hey.,Привет.
"Come on join us, we got a perfect one","Ну, давай к нам, у нас позиция в самый раз."
"And, um...","И, гм..."
They have set sail.,Они отплыли.
Over.,Прием.
This makes me nervous.,Мне от этого не по себе.
What?,- Что?
Let's not panic.,Let's not panic.
Please! Please!,"Мэгги, пожалуйста!"
They fixed it.,Они ее уже починили.
Stop makin' a fool out of me,*Прекрати дурачить меня*
You want to meet men?,Хочешь встречаться с мужчинами?
Maybe I'd be selling patio furniture in San Diego.,"Может, я бы сейчас садовой мебелью в Сан-Диего торговал."
Follow-up to the outcome of the Millennium Summit.,Последующие меры по итогам Саммита тысячелетия.
The time now is 02:25 PM .,The time now is 02:35 PM .
Cleaning  Care (2),Наши акции (1)
I can't remember anything.,Я ничего не помню.
Certainly not me.,"Но никто не идеален. Я, в первую очередь."
Let me drive.,Можно я поведу?
How do you know?,Откуда ты знаешь?
I'd never say that.,Я бы никогда не сказала этого.
"My best advice, you come back with some proper documentation.","Примите совет, возвращайтесь с документами на ребёнка."
Come here.,Иди сюда.
-What?,— Чего?
Today?,- —егодн€?
Leaves us with a couple possibilities.,И у нас остаётся лишь несколько вариантов развития событий.
Oscillate...,Колебания...
I assume.,Я предполагаю.
Delarue shot her.,Её застрелил Делару.
♪ A miracle ♪,"""Чудо?"""
"One, two, three...","Один, два, три..."
Ain't that the guy that killed anyone wearing glasses?,"Это не тот, кто убил всех очкариков?"
"Make a hole, make a hole!",Дайте пройти!
Sweetheart.,"О, мой сладкий."
Chapter I,Глава I
"You think this is an office building, right?","Ты думаешь, это здание - офис?"
"Posted: 24 Sep 2007, 18:42","Posted: 26 Oct 2011, 05:44"
"You don't know me, Teresa.","Ты не знаешь меня, Тереза"
You know what I'm saying.,"Ты понимаешь, о чем я говорю?"
"No, no, no, no.","Нет, нет, нет."
You don't seem smart enough to have a system.,"Ты не достаточно умен, чтобы иметь какую-то систему."
"The Human Rights Council,",и поощрение терпимости
"I believe the word he used was ""hysterical.""","Кажется, он использовал слово ""истерила""."
"No, Baby Girl.","- Нет, милая."
"-Yes. Yes, I do.","Да, хочу."
- How's everybody doing?,- Как там у всех дела?
I don't think so.,- Я так не думаю.
- Dad went home.,- Отец дома.
"Now, here's the book.","Теперь, вот альбом"
Bulgaria.,Мюнхен. Фотогалерея. Мюнхен
_,"Ты единственная, кто кладёт шпинат в яйца!"
Flush him towards the door.,Гони ее к двери! На мой раз! Давай!
# And I can see death's disguise #,♪ Наряд смертей мелькает ♪
Nine -- fine age.,Хороший возраст.
Wheels!,Газу!
How's it coming?,Как идет?
"Indeed, we are [now] certain.""","Воистину, мы обрели убежденность»."
Why didn't we do that?,Почему?
Allah is not inattentive of what you do.,"И Аллах не небрежет тем, что вы делаете!"
- Where are you?,- Где ты?
- Well--,- Ну...
Yeah!,Ура!
Okay.,- Так.
Go!,Пошли!
"No, no!","Нет, нет!"
Man of the hour.,Человек час.
2. How do I add funds to my Moneta account?,2. Как пополнить счет Moneta?
So Let's Raise A Glass.,И его наверняка не забудут.
"Yes, uh, in fact that is rather the point.","Да, вообще-то я поэтому и пришел."
"Anyway, they defeated the Beast and imprisoned it.","Итак, они одержали верх над Зверем и заточили его."
"I'll look for some stuff you like, too.","Я тоже буду искать то, что тебе нравится"
My name is Reza Bolhani.,Меня зовут Реза Болхани.
Please excuse the mess.,Извини за беспорядок.
-What do you think?,"- То, что слышал."
- Diarrhea!,- Диарея!
I heard you radio Barbie.,Я слышала вас с Барби.
"- Mark, take the car back.","- Марк, забери машину."
I saw him this morning.,Я видела его утром.
Academic training:,Образование
The time now is 11:38 AM .,The time now is 10:01 AM .
(Plays chords),.
At least I'm doing something.,Трудимся...
I'll figure something out.,Что-нибудь придумаю.
"In that case, yes, I am Nolan Ross.",- Нолан Росс
Eren...,Эрен...
I need to talk to him.,Мне нужно с ним поговорить.
I can't do cops.,Нельзя их вызывать.
"Well, not to their faces, I hope.","Ну, не в лицо, надеюсь."
But I'm gonna do everything I can.,Но я сделаю все возможное.
What did she do to you?,Что она с вами сделала?
- I can do it.,- Я смогу.
Nope.,Я так не могу.
I'm sorry it had to work out like this.,"Мне жаль, что всё должно было разрешиться вот так."
"- No, it isn't.","- Нет, не твоя."
"- Thank you, lieutenant.","- Спасибо, лейтенант. - Вперед."
No-handed!,Вообще без рук!
I told ya. My manager isn't here today.,"Я вам сказала, директор сейчас ..."
E.92.IV.1 and corrigendum.,См.
There's a fox hiding inside a teenage boy.,Одна лиса спряталась в теле мальчика-подростка.
"So, Vincent...","Так что, Винсент..."
I ain't raping nobody.,-Я не буду никого насиловать.
# Don't come back,# Не возвращайся
"Hey, Patrick.","Эй, Патрик."
Do you think so?,Ты так думаешь?
Except that they're welded in.,Вот только они приварены.
-What?,-Что?
That's not all.,Не только...
Lavender oil.,Лавандовое масло.
Laurent Montel,Laurent Montel
Annex V,Приложение V
Babe...,Малыш...
Why'd you tell her?,Зачем ты ей сказала?
656.,10.
He jumped onto the table.,Он запрыгнул на стол.
You are an animal.,Ты животное.
"Look, it was Daddy!","Смотри, это был папа!"
We can't dance around this.,"- Мел, хватит. Зачем эти танцы?"
With his DNA.,С его ДНК.
Do you hear that?,Слышите?
I left my friends unprotected!,Я оставил моих друзей без защиты!
"Come on, man.",Да ладно тебе.
25%,70%
I'm not too bad.,Нормально.
- I'm on a task force.,- Я в оперативной группе.
"Yeah, well...",Ну да...
He kept coming at me.,Он напал на меня!
Chandler.,Чендлер.
13 July. Finland,13
What's going on?,Что происходит?
Let's go in here.,"- Милая, не волнуйся."
Was that you?,Это были вы?
Maybe that's why I asked them to make me forget.,"Может быть, именно поэтому я не хотел помнить это."
Now for the ground rules.,Теперь основные правила
Donald.,Дональд.
Straight ahead.,Прямо.
Don't go out there.,Не выходите.
Primavera.,Примавера.
"Oh, yeah, yeah.","А, да, да."
"Eastern? No, no...",- В Восточной?
Did you want to run over Tano ?,Хочешь задавить Тано?
If it's 1985.,Для 1985 года
I saw the apples and pears that you brought.,"Видел яблоки-груши, что вы принесли."
You'll have to kill me first.,Придется сначала убить меня.
Analysis of variances,Анализ разницы в объеме ресурсов
Ecuador,Египет
She's not here.,Здесь ее не было.
"I was in the army, for god's sake!","Я служил в армии, ради всего святого!"
Nothing.,Ничего.
There was a dime store that sold toys there.,Тут был грошовый магазинчик с игрушками.
Listen well to what I have to say now.,Послушай меня внимательно.
"- Yes, but how, dear boy?","-Да, но как, дорогой мой?"
Accept it.,Прими это.
It just doesn't ring a bell.,Что-то не припоминаю.
245.,245-й.
But do I think this is one of them?,"Но думаю ли я, что это одно из них?"
"It's so beautiful, Grady.","ќна так прекрасна, √рэди."
Get in the car!,Садись в машину!
We're all at fault here.,Собратья ляхи!
International assistance and cooperation,МЕЖДУНАРОДНОЕ СОДЕЙСТВИЕ И СОТРУДНИЧЕСТВО
I'm smoking hot.,Офигительно сексуальная!
Excuse me.,Извините.
What else is there to do but read?,"Там нечего было делать, кроме как читать."
God knows I do.,Больше всего на свете.
Second Committee,Второй комитет
"Look,iz,you're worried. I see that,and I understand.","Слушай, Из, ты волнуешься, я понимаю."
She's only expecting me to be here.,"- Она думает, что я тут один."
"Yeah, that's because somebody screwed up.",Это оттого что кое-кто облажался.
- What the hell is this now?,- Какого чёрта?
"Just answer the question, please.","Пожалуйста, просто ответьте на вопрос."
The time now is 02:48 PM .,The time now is 01:11 PM .
- What have you found?,- Что ты нашла?
- We can't.,— Нельзя.
You apologized.,Ты извинилась.
Do you think we'll be lonely?,Этот дом слишком большой.
Hold on a sec.,Подожди секундочку.
- You're welcome.,- Не за что.
Location: France,"Location: Киев, Москва, Адлер"
What the hell are you guys doing?,"Эй, парни, вы чего задумали?"
Where am I?,Где я?
"See, that I just find weird.","Знаешь, это странно."
A's You okay?,- Уходи!
-No doubt.,-Вне сомнений.
d.,d.
I'm not really a Professor.,"- Я, на самом деле, не профессор."
55/51. The Syrian Golan,55/51. Сирийские Голаны
That's very nice.,Очень хорошо.
"Well, it doesn't really matter.","Ну, это не имеет значения."
You understand?,Понятно?
"Wake up, April.","Проснитесь, Эйприл."
"Well, I need a drink.",Я хотел выпить.
SECOND COMMITTEE 7th meeting,ВТОРОЙ КОМИТЕТ
Oh no!,"-О, нет!"
That's...,Ну...
Bako.,Бако.
No...,Нет...
"Fay, wait!","Фэй, подожди!"
- Goodbye.,-И вам.
"Taking note of the reports of the Secretary-General,","принимая к сведению доклады Генерального секретаря,"
Those are the things that have value to me.,Вот те вещи которые имеют значение для меня.
Nice to meet you.,Приятно познакомиться.
"Come here, I'll show you.","Подойди, я покажу."
Corrigendum,Исправление
I got you something.,Я принес тебе кое-что.
You'll see.,Вот увидишь.
Hi.,Привет.
"You're dead, Fluff Butt.","Тебе конец, Пушистый Хвост."
Come on.,Давай.
20:35,16:16
Buckle up.,Пристегните ремни.
It's got to start somewhere.,С чего-то нужно начать.
My little scrunchie-munchie.,"О, спасибо."
What's going on?,Что происходит?
"No, no, no...","Нет, нет, нет..."
We don't have a choice.,У нас нет выбора.
Summary record of the 28th meeting,"Краткий отчет о 28-м заседании,"
Very good.,Очень.
- What do you mean?,- Что ты имеешь ввиду?
Address by the President of the General Assembly.,Выступление Председателя Генеральной Ассамблеи.
I'm sorry.,Прошу прощения.
"If he's alive, that's where he's headed.",Если он жив то он направляется туда.
Get out! Get out of the way!,Расступитесь!
I feel like I'm losing my mind.,"Ощущение, как будто сознание ускользает от меня."
Man!,Блин!
I... I think I should.,"Думаю, я должна."
What should we do?,А что нам делать?
I should hope so.,"Надеюсь, да."
- Okay.,- Ну ладно.
I'm glad you finally made it back.,Я рада что ты наконец вернулась.
I'll be back.,Я вернусь.
I screwed her.,Я трахнул её.
My..,Моим...
Supply the FBI with a lead.,Дадим ФБР наводку.
"Yes, thank you.","Да, спасибо."
- Well?,- Все в порядке.
"Unfortunately, I have my manager hat on right now.","К сожалению, я буду говорить с тобой, как твой менеджер."
He isn't coming back.,Он не вернется.
That is three words.,Это два слова.
"Listen, Aayan.","Послушай, Аян."
This Marcius is grown from man to dragon.,Этот Марций из человека стал драконом.
We missed you.,Мы скучали по тебе.
Picture! Picture!,Слабак!
From your brother...,Алло?
And you'll die.,И ты умрешь.
I'm gonna get you!,Я тебя поймаю.
Are you serious?,Вы это серьезно?
